Subject,Start Date,Description,Private
📻《0:30》【第4回】Afterglowの夕焼け STUDIO SPECIAL,01/02/2021,https://www.nack5.co.jp/program/afterglow795/,False
📻【第221回】バンドリ！ポッピンラジオ！,01/02/2021,https://hibiki-radio.jp/description/poppin-radio/detail,False
📻《20:30》【第16回】BanG Dream! Presents RAISE A SUILENのRADIO R･I･O･T,01/02/2021,https://www.1242.com/bang_dream/,False
📻《24:00》ニッポン放送「ミューコミプラス」Raychellさん＆小原莉子さん出演,01/02/2021,https://twitter.com/bang_dream_info/status/1353885371973554178,False
📻《21:00》モニカラジオ #42,02/02/2021,https://www.youtube.com/channel/UCN-bFIdJM0gQlgX7h6LKcZA,False
📻【第167回】RoseliaのRADIO SHOUT!,03/02/2021,https://hibiki-radio.jp/description/Roselia/detail,False
📺《22:00》バンドリ！TV LIVE 2021 #53,04/02/2021,https://www.youtube.com/channel/UCN-bFIdJM0gQlgX7h6LKcZA?spfreload=5,False
📺《23:00》アニメ「BanG Dream! 2nd Season」#5（再）,04/02/2021,https://anime.bang-dream.com/2nd/,False
📺《21:00》Pastel＊PalettesのしゅわりんTV #20,05/02/2021,https://www.youtube.com/channel/UCN-bFIdJM0gQlgX7h6LKcZA?spfreload=5,False
🎤【開催延期】BUSHIROAD ROCK FESTIVAL 2021,06/02/2021,https://bang-dream.com/events/brfes2021,False
📺《14:00》D4DJ×バンドリ！特別番組「ライブ振り返り配信」,06/02/2021,https://bang-dream.com/news/1121,False
📻【第22回】Afterglowの夕焼けSTUDIO＋,06/02/2021,https://hibiki-radio.jp/description/Afterglowplus/detail,False
📻《25:00》BSフジ「オダイバ!! 超次元音楽祭 -2020無観客でも心はひとつ!!編 -」Poppin'Party出演,06/02/2021,https://www.bsfuji.tv/choujigen/pub/index.html,False
🎤【開催延期】BUSHIROAD ROCK FESTIVAL 2021,07/02/2021,https://bang-dream.com/events/brfes2021,False
📻【第222回】バンドリ！ポッピンラジオ！,08/02/2021,https://hibiki-radio.jp/description/poppin-radio/detail,False
📻《20:30》【第17回】BanG Dream! Presents RAISE A SUILENのRADIO R･I･O･T,08/02/2021,https://www.1242.com/bang_dream/,False
📻《21:00》モニカラジオ #43,09/02/2021,https://www.youtube.com/channel/UCN-bFIdJM0gQlgX7h6LKcZA?spfreload=5,False
📻【第168回】RoseliaのRADIO SHOUT!,10/02/2021,https://hibiki-radio.jp/description/Roselia/detail,False
📺《22:00》バンドリ！TV LIVE 2021 #54,11/02/2021,https://www.youtube.com/channel/UCN-bFIdJM0gQlgX7h6LKcZA?spfreload=5,False
📺《23:00》アニメ「BanG Dream! 2nd Season」#6（再）,11/02/2021,https://anime.bang-dream.com/2nd/,False
🎤「オダイバ!!超次元音楽祭－ヨコハマからハッピーバレンタインフェス2021－」,13/02/2021,https://bang-dream.com/events/choujigen2021,False
📺【第23回】Afterglowの夕焼け STUDIO＋,13/02/2021,https://hibiki-radio.jp/description/Afterglowplus/detail,False
🎤「オダイバ!!超次元音楽祭－ヨコハマからハッピーバレンタインフェス2021－」,14/02/2021,https://bang-dream.com/events/choujigen2021,False
📻【第223回】バンドリ！ポッピンラジオ！,15/02/2021,https://hibiki-radio.jp/description/poppin-radio/detail,False
📻《21:00》モニカラジオ #44,16/02/2021,https://www.youtube.com/channel/UCN-bFIdJM0gQlgX7h6LKcZA?spfreload=5,False
📻【第169回】RoseliaのRADIO SHOUT!,17/02/2021,https://hibiki-radio.jp/description/Roselia/detail,False
